교과,학년군,영역,성취기준코드,성취기준
사회,5-6학년군,민주주의와 시민 참여,[6사08-03],"민주주의에서 미디어의 의미와 역할을 이해하고, 여러 가지 미디어의 내용을 비판적으로 분석하여 올바르게 이용하는 태도를 기른다."
사회,5-6학년군,"지구, 대륙 그리고 국가들",[6사09-01],"세계를 표현하는 다양한 공간 자료의 특징을 이해하고, 지구본과 세계지도에서 위치를 표현하는 방법을 익힌다."
사회,5-6학년군,"지구, 대륙 그리고 국가들",[6사09-02],"세계 주요 대륙과 대양을 파악하고, 우리나라 및 세계 여러 국가의 위치와 영토의 특징을 이해한다."
사회,5-6학년군,세계의 자연환경,[6사10-01],"세계의 여러 지역의 지형 경관을 살펴보고, 이를 통해 다양한 삶의 모습을 이해한다."
사회,5-6학년군,세계의 자연환경,[6사10-02],세계의 다양한 기후를 알아보고 기후 환경과 인간생활 간의 관계를 탐구한다.
사회,5-6학년군,시장경제와 국가 간 거래,[6사11-01],"시장경제에서 가계와 기업의 역할을 이해하고, 근로자의 권리와 기업의 자유 및 사회적 책임을 탐색한다."
사회,5-6학년군,시장경제와 국가 간 거래,[6사11-02],"경제 성장이 우리 생활에 미치는 영향을 파악하고, 빠른 경제성장으로 발생한 문제의 해결 방안을 탐색한다."
사회,5-6학년군,시장경제와 국가 간 거래,[6사11-03],"사례를 통해 무역의 의미를 이해하고, 국가 간 무역이 발생하는 이유를 탐구한다."
사회,5-6학년군,지구촌 사람들,[6사12-01],세계의 인구 분포를 파악하고 여러 국가의 인구 특징을 탐구한다.
사회,5-6학년군,지구촌 사람들,[6사12-02],"지구촌을 위협하는 다양한 문제들을 파악하고, 지속가능한 미래를 위한 해결 방안을 탐색한다."
